,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,totalWA,totalBA,totalIA,totalAA,totalNA,totalH,totalTOM
589,50,53,21,Washington,Franklin,2,0,97076,50042,47034,38409,1973,482,2102,200,52240,1670
590,50,53,21,Washington,Franklin,2,1,8140,4170,3970,2319,99,22,118,13,5306,263
591,50,53,21,Washington,Franklin,2,2,8691,4273,4418,2485,122,28,141,16,5650,249
592,50,53,21,Washington,Franklin,2,3,9138,4604,4534,2480,114,22,141,13,6168,200
593,50,53,21,Washington,Franklin,2,4,8045,4047,3998,2094,161,29,141,10,5446,164
594,50,53,21,Washington,Franklin,2,5,6584,3445,3139,1882,171,37,101,16,4256,121
595,50,53,21,Washington,Franklin,2,6,7043,3730,3313,2477,172,53,144,22,4055,120
596,50,53,21,Washington,Franklin,2,7,7233,3859,3374,2851,183,40,177,17,3854,111
597,50,53,21,Washington,Franklin,2,8,7278,3931,3347,3062,162,36,206,12,3703,97
598,50,53,21,Washington,Franklin,2,9,6461,3468,2993,2676,156,31,159,23,3340,76
599,50,53,21,Washington,Franklin,2,10,5550,2927,2623,2335,134,24,149,18,2838,52
600,50,53,21,Washington,Franklin,2,11,4926,2666,2260,2147,122,27,152,11,2427,40
601,50,53,21,Washington,Franklin,2,12,4465,2291,2174,2409,92,31,106,11,1786,30
602,50,53,21,Washington,Franklin,2,13,4023,2067,1956,2516,85,28,112,6,1238,38
603,50,53,21,Washington,Franklin,2,14,3633,1860,1773,2454,85,31,80,3,935,45
604,50,53,21,Washington,Franklin,2,15,2607,1267,1340,1880,54,20,72,4,554,23
605,50,53,21,Washington,Franklin,2,16,1590,739,851,1131,27,11,49,4,348,20
606,50,53,21,Washington,Franklin,2,17,949,419,530,701,21,5,36,0,174,12
607,50,53,21,Washington,Franklin,2,18,720,279,441,510,13,7,18,1,162,9
703,50,53,25,Washington,Grant,2,0,99365,50884,48481,52080,931,860,950,140,42682,1722
704,50,53,25,Washington,Grant,2,1,7469,3893,3576,2739,58,45,54,27,4360,186
705,50,53,25,Washington,Grant,2,2,8101,4042,4059,3055,74,37,67,25,4618,225
706,50,53,25,Washington,Grant,2,3,8798,4511,4287,3263,79,56,52,5,5160,183
707,50,53,25,Washington,Grant,2,4,7502,3891,3611,2913,76,59,44,14,4213,183
708,50,53,25,Washington,Grant,2,5,6409,3355,3054,2485,64,66,66,8,3574,146
709,50,53,25,Washington,Grant,2,6,7032,3693,3339,3066,73,64,54,7,3625,143
710,50,53,25,Washington,Grant,2,7,6550,3433,3117,3178,68,63,74,9,3068,90
711,50,53,25,Washington,Grant,2,8,6096,3268,2828,3149,53,57,83,7,2661,86
712,50,53,25,Washington,Grant,2,9,5801,2895,2906,2993,43,54,51,9,2592,59
713,50,53,25,Washington,Grant,2,10,5501,2749,2752,2904,43,55,59,4,2377,59
714,50,53,25,Washington,Grant,2,11,5186,2724,2462,3131,40,43,75,3,1838,56
715,50,53,25,Washington,Grant,2,12,5586,2916,2670,3774,61,56,58,4,1560,73
716,50,53,25,Washington,Grant,2,13,5467,2785,2682,4042,74,64,54,7,1161,65
717,50,53,25,Washington,Grant,2,14,4674,2379,2295,3731,49,65,51,1,722,55
718,50,53,25,Washington,Grant,2,15,3834,1902,1932,3136,30,34,47,3,532,52
719,50,53,25,Washington,Grant,2,16,2567,1259,1308,2182,22,18,27,1,299,18
720,50,53,25,Washington,Grant,2,17,1409,639,770,1196,10,12,14,3,160,14
721,50,53,25,Washington,Grant,2,18,1383,550,833,1143,14,12,20,3,162,29
931,50,53,33,Washington,King,2,0,2272571,1150786,1121785,1293953,152734,13090,456352,17708,230889,107845
932,50,53,33,Washington,King,2,1,124542,63769,60773,53765,9625,582,24917,1005,20490,14158
933,50,53,33,Washington,King,2,2,127240,64793,62447,55982,10421,640,24680,1041,20817,13659
934,50,53,33,Washington,King,2,3,129513,66213,63300,59506,10695,667,23187,1535,21431,12492
935,50,53,33,Washington,King,2,4,122183,61596,60587,58700,9468,770,23209,1435,18387,10214
936,50,53,33,Washington,King,2,5,132486,67775,64711,63160,10395,907,29411,1383,18306,8924
937,50,53,33,Washington,King,2,6,201066,104915,96151,102361,13675,1266,49720,1691,22260,10093
938,50,53,33,Washington,King,2,7,215961,113676,102285,114065,14546,1235,53969,1735,21641,8770
939,50,53,33,Washington,King,2,8,193544,101425,92119,105618,13479,1042,44656,1668,20063,7018
940,50,53,33,Washington,King,2,9,163013,84273,78740,91643,11037,898,35546,1328,17199,5362
941,50,53,33,Washington,King,2,10,151034,77453,73581,88368,9836,805,31645,1148,14827,4405
942,50,53,33,Washington,King,2,11,145047,74791,70256,93208,9261,952,25881,943,11238,3564
943,50,53,33,Washington,King,2,12,138161,70477,67684,94268,8657,891,22064,931,8505,2845
944,50,53,33,Washington,King,2,13,126335,63127,63208,89205,7578,787,19554,753,6031,2427
945,50,53,33,Washington,King,2,14,104294,50123,54171,75639,5584,620,16538,495,3789,1629
946,50,53,33,Washington,King,2,15,80924,37492,43432,59758,3909,460,12866,287,2600,1044
947,50,53,33,Washington,King,2,16,51382,23256,28126,38688,2130,308,7911,166,1568,611
948,50,53,33,Washington,King,2,17,31278,13262,18016,23175,1326,155,5294,100,896,332
949,50,53,33,Washington,King,2,18,34568,12370,22198,26844,1112,105,5304,64,841,298
1273,50,53,45,Washington,Mason,2,0,66028,34397,31631,52239,898,2005,836,313,7179,2558
1274,50,53,45,Washington,Mason,2,1,3423,1757,1666,2018,30,115,21,38,952,249
1275,50,53,45,Washington,Mason,2,2,3594,1883,1711,2257,33,117,23,22,847,295
1276,50,53,45,Washington,Mason,2,3,3735,1974,1761,2405,39,124,16,31,836,284
1277,50,53,45,Washington,Mason,2,4,3414,1828,1586,2285,48,144,34,44,633,226
1278,50,53,45,Washington,Mason,2,5,3295,1881,1414,2237,93,150,84,20,514,197
1279,50,53,45,Washington,Mason,2,6,4007,2304,1703,2908,122,153,51,11,568,194
1280,50,53,45,Washington,Mason,2,7,3930,2150,1780,2856,117,153,51,26,568,159
1281,50,53,45,Washington,Mason,2,8,3961,2135,1826,3036,87,122,57,21,493,145
1282,50,53,45,Washington,Mason,2,9,3657,2004,1653,2891,61,111,44,12,417,121
1283,50,53,45,Washington,Mason,2,10,3515,1885,1630,2845,80,105,66,9,311,99
1284,50,53,45,Washington,Mason,2,11,3791,1937,1854,3164,46,118,66,12,273,112
1285,50,53,45,Washington,Mason,2,12,4796,2353,2443,4159,37,154,67,18,243,118
1286,50,53,45,Washington,Mason,2,13,5539,2788,2751,4972,42,149,85,14,175,102
1287,50,53,45,Washington,Mason,2,14,5406,2698,2708,4932,27,130,57,13,146,101
1288,50,53,45,Washington,Mason,2,15,4382,2168,2214,4070,18,60,53,9,100,72
1289,50,53,45,Washington,Mason,2,16,2736,1351,1385,2538,5,51,29,6,54,53
1290,50,53,45,Washington,Mason,2,17,1657,820,837,1551,9,30,21,3,25,18
1291,50,53,45,Washington,Mason,2,18,1190,481,709,1115,4,19,11,4,24,13
1501,50,53,53,Washington,Pierce,2,0,922828,463150,459678,596274,66213,10567,63526,15110,109959,61179
1502,50,53,53,Washington,Pierce,2,1,58519,30087,28432,29839,4131,553,3206,975,11702,8113
1503,50,53,53,Washington,Pierce,2,2,61456,31653,29803,32627,4143,517,3447,1076,11307,8339
1504,50,53,53,Washington,Pierce,2,3,61680,31563,30117,32820,4307,673,3280,1365,11463,7772
1505,50,53,53,Washington,Pierce,2,4,55229,28519,26710,29875,3907,725,3599,1226,9756,6141
1506,50,53,53,Washington,Pierce,2,5,60391,32973,27418,33501,5244,825,3905,1063,10326,5527
1507,50,53,53,Washington,Pierce,2,6,71533,37367,34166,42311,6235,1036,4959,1333,10481,5178
1508,50,53,53,Washington,Pierce,2,7,71663,36287,35376,44925,5916,972,5238,1463,9003,4146
1509,50,53,53,Washington,Pierce,2,8,69077,34728,34349,43698,5423,863,5215,1466,8702,3710
1510,50,53,53,Washington,Pierce,2,9,59711,29987,29724,38878,4649,744,4273,1140,7099,2928
1511,50,53,53,Washington,Pierce,2,10,54775,27622,27153,36857,4029,653,4520,920,5557,2239
1512,50,53,53,Washington,Pierce,2,11,55947,27935,28012,40072,4002,634,4358,771,4333,1777
1513,50,53,53,Washington,Pierce,2,12,58131,29109,29022,43472,4158,657,3975,705,3456,1708
1514,50,53,53,Washington,Pierce,2,13,55276,27051,28225,42305,3901,615,3830,639,2591,1395
1515,50,53,53,Washington,Pierce,2,14,45343,21373,23970,35643,2664,471,3378,405,1757,1025
1516,50,53,53,Washington,Pierce,2,15,35359,16541,18818,28897,1560,340,2557,296,1138,571
1517,50,53,53,Washington,Pierce,2,16,22672,10190,12482,18987,942,158,1573,123,605,284
1518,50,53,53,Washington,Pierce,2,17,13386,5618,7768,11134,538,82,1005,105,361,161
1519,50,53,53,Washington,Pierce,2,18,12680,4547,8133,10433,464,49,1208,39,322,165
1729,50,53,61,Washington,Snohomish,2,0,829331,418871,410460,553800,30510,8630,102433,5028,91517,37413
1730,50,53,61,Washington,Snohomish,2,1,50982,26041,24941,27482,2076,430,6398,257,9187,5152
1731,50,53,61,Washington,Snohomish,2,2,51631,26551,25080,28756,2080,400,6027,251,9118,4999
1732,50,53,61,Washington,Snohomish,2,3,53416,27566,25850,29824,2208,607,5813,323,9966,4675
1733,50,53,61,Washington,Snohomish,2,4,47313,24393,22920,27038,1719,592,5360,322,8621,3661
1734,50,53,61,Washington,Snohomish,2,5,44780,23114,21666,26842,1935,591,4918,322,7026,3146
1735,50,53,61,Washington,Snohomish,2,6,56709,29157,27552,35591,2553,760,7392,445,6994,2974
1736,50,53,61,Washington,Snohomish,2,7,65291,33346,31945,41312,2804,724,10347,479,7058,2567
1737,50,53,61,Washington,Snohomish,2,8,66761,34526,32235,42043,3052,672,10745,455,7484,2310
1738,50,53,61,Washington,Snohomish,2,9,57585,29927,27658,36917,2687,577,8516,392,6672,1824
1739,50,53,61,Washington,Snohomish,2,10,53561,27544,26017,35713,2391,560,7587,387,5522,1401
1740,50,53,61,Washington,Snohomish,2,11,54930,28301,26629,39666,2095,588,6644,348,4291,1298
1741,50,53,61,Washington,Snohomish,2,12,57519,29268,28251,43814,1898,636,6143,439,3440,1149
1742,50,53,61,Washington,Snohomish,2,13,53045,26506,26539,42142,1347,525,5371,217,2547,896
1743,50,53,61,Washington,Snohomish,2,14,42565,20426,22139,34754,803,403,4257,180,1553,615
1744,50,53,61,Washington,Snohomish,2,15,31565,14711,16854,26459,421,254,2979,114,972,366
1745,50,53,61,Washington,Snohomish,2,16,19181,8752,10429,16203,227,183,1776,47,533,212
1746,50,53,61,Washington,Snohomish,2,17,11478,4836,6642,9765,103,76,1121,28,274,111
1747,50,53,61,Washington,Snohomish,2,18,11019,3906,7113,9479,111,52,1039,22,259,57
1786,50,53,63,Washington,Spokane,2,0,540700,269920,270780,451633,10205,7576,12610,3225,34603,20848
1787,50,53,63,Washington,Spokane,2,1,31269,15859,15410,23253,634,405,707,206,3315,2749
1788,50,53,63,Washington,Spokane,2,2,33198,17195,16003,25095,640,468,662,250,3328,2755
1789,50,53,63,Washington,Spokane,2,3,34691,17856,16835,26830,662,567,636,311,3193,2492
1790,50,53,63,Washington,Spokane,2,4,34090,17480,16610,26375,737,572,869,309,3003,2225
1791,50,53,63,Washington,Spokane,2,5,34925,17887,17038,26492,998,651,978,276,3396,2134
1792,50,53,63,Washington,Spokane,2,6,40183,20627,19556,31547,1091,662,1111,286,3580,1906
1793,50,53,63,Washington,Spokane,2,7,40742,20812,19930,33134,1036,679,1085,312,3084,1412
1794,50,53,63,Washington,Spokane,2,8,37547,19249,18298,31266,797,556,942,300,2639,1047
1795,50,53,63,Washington,Spokane,2,9,32777,16615,16162,27497,667,527,848,213,2130,895
1796,50,53,63,Washington,Spokane,2,10,31220,15901,15319,26577,606,498,893,176,1735,735
1797,50,53,63,Washington,Spokane,2,11,31645,15835,15810,27779,478,461,811,165,1330,621
1798,50,53,63,Washington,Spokane,2,12,34798,17011,17787,31320,519,446,757,91,1144,521
1799,50,53,63,Washington,Spokane,2,13,34516,16760,17756,31435,491,368,691,110,940,481
1800,50,53,63,Washington,Spokane,2,14,30969,14806,16163,28644,356,280,561,97,670,361
1801,50,53,63,Washington,Spokane,2,15,24492,11650,12842,22803,251,200,477,64,477,220
1802,50,53,63,Washington,Spokane,2,16,15313,7048,8265,14400,102,115,248,28,280,140
1803,50,53,63,Washington,Spokane,2,17,9330,4066,5264,8769,69,69,150,19,169,85
1804,50,53,63,Washington,Spokane,2,18,8995,3263,5732,8417,71,52,184,12,190,69
2185,50,53,77,Washington,Yakima,2,0,256533,128596,127937,106301,2197,9223,2976,211,131130,4495
2186,50,53,77,Washington,Yakima,2,1,19580,9864,9716,4866,133,617,143,15,13254,552
2187,50,53,77,Washington,Yakima,2,2,21389,10941,10448,5366,214,681,147,12,14479,490
2188,50,53,77,Washington,Yakima,2,3,22578,11613,10965,5741,174,942,138,10,15103,470
2189,50,53,77,Washington,Yakima,2,4,19795,10126,9669,5072,129,885,144,20,13087,458
2190,50,53,77,Washington,Yakima,2,5,17013,8658,8355,4705,150,685,143,14,10930,386
2191,50,53,77,Washington,Yakima,2,6,17859,8960,8899,5971,203,648,206,16,10437,378
2192,50,53,77,Washington,Yakima,2,7,16537,8364,8173,6300,205,700,231,20,8793,288
2193,50,53,77,Washington,Yakima,2,8,15759,7935,7824,6191,164,616,258,21,8266,243
2194,50,53,77,Washington,Yakima,2,9,15006,7612,7394,6190,162,500,194,10,7750,200
2195,50,53,77,Washington,Yakima,2,10,14001,7054,6947,6018,118,497,204,14,6986,164
2196,50,53,77,Washington,Yakima,2,11,13666,6934,6732,6492,108,509,219,12,6170,156
2197,50,53,77,Washington,Yakima,2,12,14257,7183,7074,8130,107,512,252,16,5066,174
2198,50,53,77,Washington,Yakima,2,13,13393,6767,6626,8649,98,493,226,13,3741,173
2199,50,53,77,Washington,Yakima,2,14,11670,5585,6085,8178,88,373,178,3,2727,123
2200,50,53,77,Washington,Yakima,2,15,9611,4666,4945,7168,61,237,118,5,1930,92
2201,50,53,77,Washington,Yakima,2,16,6444,3068,3376,5014,30,167,66,6,1094,67
2202,50,53,77,Washington,Yakima,2,17,4053,1797,2256,3095,32,87,60,0,735,44
2203,50,53,77,Washington,Yakima,2,18,3922,1469,2453,3155,21,74,49,4,582,37
