,County,medinc19,estinc2020,estinc2021
4,Washington, 78674 , 80319 , 81998 
5,Adams, 53535 , 56421 , 59463 
6,Asotin, 54776 , 53377 , 52014 
7,Benton, 72847 , 75882 , 79043 
8,Chelan, 59838 , 61546 , 63303 
9,Clallam, 57571 , 54712 , 51995 
10,Clark, 80407 , 76929 , 73601 
11,Columbia, 56338 , 58220 , 60165 
12,Cowlitz, 57316 , 64357 , 72263 
13,Douglas, 63086 , 64768 , 66495 
14,Ferry, 47463 , 47722 , 47982 
15,Franklin, 63575 , 73656 , 85336 
16,Garfield, 54555 , 56804 , 59146 
17,Grant, 57152 , 54753 , 52455 
18,Grays Harbor, 59346 , 54034 , 49197 
19,Island, 72173 , 76965 , 82075 
20,Jefferson, 60556 , 66386 , 72777 
21,King, 102338 , 102620 , 102903 
22,Kitsap, 79268 , 76814 , 74436 
23,Kittitas, 59172 , 64727 , 70803 
24,Klickitat, 60567 , 57476 , 54543 
25,Lewis, 58525 , 54578 , 50897 
26,Lincoln, 60849 , 61332 , 61819 
27,Mason, 63689 , 63785 , 63881 
28,Okanogan, 44777 , 48979 , 53575 
29,Pacific, 50521 , 53319 , 56272 
30,Pend Oreille, 51950 , 57212 , 63007 
31,Pierce, 78779 , 80236 , 81720 
32,San Juan, 69113 , 74533 , 80378 
33,Skagit, 67551 , 78798 , 91918 
34,Skamania, 69163 , 68501 , 67845 
35,Snohomish, 89119 , 93589 , 98283 
36,Spokane, 59976 , 60827 , 61690 
37,Stevens, 55000 , 50958 , 47213 
38,Thurston, 77890 , 79769 , 81693 
39,Wahkiakum, 61123 , 62099 , 63091 
40,Walla Walla, 60202 , 61281 , 62379 
41,Whatcom, 68656 , 70463 , 72318 
42,Whitman, 45906 , 52066 , 59053 
43,Yakima, 55674 , 56353 , 57040 
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
