CTYNAME,work_pop,working_perc,tot_pop
Adams,11993,0.5820431933996603,20605
Asotin,13265,0.5951099147599821,22290
Benton,129733,0.6260338754041403,207230
Chelan,48157,0.6081581107532993,79185
Clallam,42917,0.5553442028985507,77280
Clark,326920,0.6473496721866566,505013
Columbia,2231,0.5649531526968853,3949
Cowlitz,68742,0.6197216111932494,110924
Douglas,26202,0.609377180333969,42998
Ferry,4106,0.572025633881304,7178
Garfield,1278,0.5575916230366492,2292
Grays Harbor,45942,0.6060070438326892,75811
Island,51546,0.5928370980356075,86948
Jefferson,17132,0.51839748244977,33048
Kitsap,178229,0.6465537256040049,275660
Kittitas,30841,0.6916728341070668,44589
Klickitat,13621,0.5978580520563578,22783
Lewis,50163,0.608228047627131,82474
Lincoln,6148,0.563003663003663,10920
Okanogan,24540,0.582648748753502,42118
Pacific,12935,0.5511291009799745,23470
Pend Oreille,7718,0.5724669930277407,13482
San Juan,9784,0.5491076439555506,17818
Skagit,78817,0.6069756337984783,129852
Skamania,7467,0.6204919395047366,12034
Stevens,27227,0.5846969892196023,46566
Thurston,190504,0.6441843715022876,295729
Wahkiakum,2386,0.5370245329732163,4443
Walla Walla,40008,0.6393709847540512,62574
Whatcom,150437,0.6618317319536832,227304
Whitman,36633,0.7666052818817227,47786
